Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;309.41;143.78;215.2;11:51:35;18.15;81.0;0:00:01;0.0;480.0;223.05;1195.0;555.31;832.0;386.62;939.0;436.34;0:24:53;3.5
Objeto 2;481.05;138.24;347.97;14:16:58;24.36;97.0;0:02:17;0.27;1001.0;287.67;2039.0;585.97;1509.0;433.65;748.0;214.96;0:15:27;1.8
Objeto 3;421.9;;;8:21:37;;74.0;0:00:00;0.0;698.0;;1613.0;;883.0;;1210.0;;0:07:26;1.48
Objeto 4;110.01;90.45;121.63;7:23:05;16.47;88.0;0:00:08;0.03;169.0;138.95;628.0;516.33;418.0;343.67;133.0;109.35;0:46:47;10.56
Objeto 5;0.0;0.0;0.0;0:00:00;0.0;0.0;0:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0:00:00;0.0
Objeto 6;273.31;127.24;214.8;9:14:38;23.24;91.0;0:00:26;0.08;539.0;250.93;1188.0;553.08;731.0;340.32;463.0;215.55;0:00:00;0.0
Objeto 7;151.3;72.45;208.84;1:17:00;162.74;79.0;0:00:00;0.0;204.0;97.68;928.0;444.35;588.0;281.55;177.0;84.75;0:00:00;0.0
Objeto 8;738.04;367.55;200.8;7:52:10;25.52;97.0;0:01:01;0.22;1743.0;868.02;2200.0;1095.61;2542.0;1265.92;1685.0;839.14;0:06:37;1.4
Objeto 9;10.2;182.44;5.59;1:00:06;5.58;26.0;0:00:00;0.0;13.0;232.52;70.0;1252.01;70.0;1252.01;6.0;107.32;0:00:00;0.0
Objeto 10;131.8;129.18;102.03;4:17:19;23.79;69.0;0:00:00;0.0;197.0;193.08;731.0;716.46;390.0;382.24;193.0;189.16;0:00:00;0.0
Objeto 11;62.09;20.29;306.01;15:31:10;19.72;91.0;0:00:31;0.06;34.0;11.11;548.0;179.08;1354.0;442.47;0.0;0.0;0:15:54;1.71
Objeto 12;0.0;0.0;0.0;0:00:00;0.0;0.0;0:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0:00:00;0.0
Objeto 13;598.2;302.52;197.74;12:22:06;15.99;80.0;0:00:00;0.0;1235.0;624.56;2155.0;1089.83;1802.0;911.31;1357.0;686.26;0:30:37;4.13
Objeto 14;1.5;10.49;14.3;1:10:07;12.24;70.0;0:00:00;0.0;0.0;0.0;15.0;104.88;42.0;293.67;0.0;0.0;0:17:11;24.51
Objeto 15;0.1;;;1:00:23;;56.0;0:00:00;0.0;0.0;;1.0;;22.0;;0.0;;0:11:13;18.58
Objeto 16;42.54;20.23;210.27;11:43:08;17.94;95.0;0:01:56;0.27;25.0;11.89;358.0;170.26;913.0;434.21;0.0;0.0;0:27:36;3.93
